,Unnamed: 0,ratio,mean_pos_sim,mean_diff,method,reduction_rate
0,0,0.0,1.0,0.0,Autoencoder (768x1),768.0
0,0,0.611643,0.775704,0.128468,Autoencoder (768x2),384.0
0,0,0.65782,0.814936,0.134418,Autoencoder (768x4),192.0
0,0,0.692262,0.839392,0.120364,Autoencoder (768x6),128.0
0,0,0.663388,0.845694,0.095405,Autoencoder (384x4),96.0
0,0,0.751016915245949,0.9615564,0.027460754,Autoencoder,64.0
0,0,0.739539,0.874637,0.085899,Autoencoder (384x8),48.0
0,0,0.8379270488341595,0.9602467,0.02749896,Autoencoder,32.0
0,0,0.812323,0.72479,0.168471,Autoencoder (192x8),24.0
0,0,0.9099224254817844,0.97059065,0.023798823,Autoencoder,16.0
0,0,0.901977,0.736484,0.197509,Autoencoder (192x16),12.0
0,0,0.9358176443130544,0.962036,0.03186351,Autoencoder,8.0
0,0,0.944687,0.732827,0.216908,Autoencoder (96x16),6.0
0,0,0.956323,0.726109,0.223334,Autoencoder (64x16),4.0
0,0,0.951389,0.823245,0.146679,Autoencoder (96x32),3.0
0,0,0.963291,0.722497,0.227897,Autoencoder (32x16),2.0
