Dimensions	Reduction	Total query time [s]	Storage [bytes]	index_time_in_millis	MAP	DCG mean	DCG std	Recall mean	Recall std	Algo
768	1	244	1133853641	151491	0.196	0.160 	0.209	0.562	0.37	Siamese
384	2	101	647416401	54788	0.181	0.149	0.198	0.543	0.37	Siamese
256	3	79	488412977	45929	0.170	0.141	0.192	0.502	0.38	Siamese
192	4	66	401747425	30921	0.175 	0.145	0.194	0.500	0.36	Siamese
128	6	56	320674380	27556	0.148	0.124	0.185	0.464	0.37	Siamese
96	8	54	280556808	32712	0.131	0.109	0.157	0.413	0.36	Siamese
64	12	47	239313475	24233	0.130	0.108	0.163	0.419	0.37	Siamese
48	16	46	217770374	31075	0.122	0.104	0.161	0.341	0.31	Siamese
32	24	43	196731517	28344	0.096	0.084	0.137	0.356	0.34	Siamese
24	32	39	185291517	21972	0.077	0.069	0.113	0.219	0.24	Siamese
16	48	42	174768801	27946	0.078	0.072	0.135	0.220	0.27	Siamese
12	64	40	169093497	27284	0.057	0.054	0.101	0.193	0.24	Siamese
8	96	36	163137047	21231	0.070	0.067 	0.141	0.175	0.20	Siamese
6	128	38	160061844	27249	0.062	0.062	0.137	0.161	0.22	Siamese
4	192	36	156770546	20879	0.050	0.049	0.116	0.082	0.10	Siamese
